name,twitter,Political group,Nationality
SCHAAKE Marietje,MarietjeSchaake,EFDD,UK
ALBIOL GUZMÁN Marina,MarinaAlbiol,EPP,Romania
MARINHO E PINTO António,marinhoepinto,S&D,Hungary
ULVSKOG Marita,maritaulvskog,S&D,Luxembourg
DEMESMAEKER Mark,markdemesmaeker,ALDE,Sweden
FERBER Markus,MarkusFerber,GUE,Netherlands
MIZZI Marlene,MarleneMizzi,GUE,Germany
HÄUSLING Martin,MartinHaeusling,EPP,Netherlands
SCHULZ Martin,MartinSchulz,EPP,Germany
SONNEBORN Martin,MartinSonneborn,EPP,Germany
HONEYBALL Mary,maryhoneyball,S&D,Italy
PAOLUCCI Massimo,MassimoPaolucc6,NI (Kongres Nowej Prawicy),Poland
MATERA Barbara,materabarbara,S&D,Italy
CARTHY Matt,mattcarthy,EPP,Spain
MILTENBURG Matthijs van,MatthijsvMilt,EPP,Czech Republic
PONGA Maurice,mauriceponga,GUE,UK
ANDERSSON Max,MaxAndersson,GUE,Greece
SALINI Massimiliano,MaxSalini,EPP,Belgium
ARNAUTU Marie Christine,MCArnautu,S&D,UK
VERGIAT Marie Christine,MCVergiat,ALDE,Romania
DLABAJOVÁ Martina,Mdlabajova,Greens,Spain
THEOCHAROUS Eleni,mep_theocharous,S&D,UK
ANDERSON Martina,MEPStandingUp4U,S&D,UK
BRESSO Mercedes,mercedesbresso,ECR,Denmark
MESZERICS Tamás,MeszericsT,EPP,Slovakia
KUMPULA NATRI Miapetra,miapetrakumpula,EPP,Bulgaria
GAHLER Michael,michaelgahler,S&D,Italy
BONI Michał,MichalBoni,S&D,Italy
DANTIN Michel,MichelDANTIN,ALDE,France
RIVASI Michèle,MicheleRivasi,EFDD,UK
REIMON Michel,michelreimon,EFDD,Italy
ZVER Milan,MilanZver,EPP,Spain
ETHERIDGE Bill,milroy666,ECR,Netherlands
DALLI Miriam,Miriamdalli,ALDE,Bulgaria
MIKOLÁŠIK Miroslav,miromikolasik,S&D,Czech Republic
POCHE Miroslav,MiroslavPoche,EPP,Germany
GRAAFF Marcel de,MJRLdeGraaff,S&D,Germany
KEFALOGIANNIS Manolis,MKefaloyannis,NI (Front National),France
LE PEN Marine,MLP_officiel,EPP,Italy
MATIAS Marisa,mmatias_,EPP,Germany
SCOTT CATO Molly,MollyScottCato,S&D,Romania
NEKOV Momchil,momchilnekov,EFDD,Czech Republic
MACOVEI Monica Luisa,MonicaMacovei1,S&D,Germany
HOHLMEIER Monika,MonikaHohlmeier,EPP,Slovenia
PETERSEN Morten Helveg,mortenhelveg,EPP,Portugal
MESSERSCHMIDT Morten,MrMesserschmidt,ALDE,Spain
TROSZCZYNSKI Mylène,MyleneTroszczyn,S&D,UK
MORANO Nadine,nadine__morano,EPP,Germany
GILL Nathan,NathanGillMEP,NI (Front National),France
CHILDERS Nessa,NChildersMEP,EFDD,UK
GILL Neena,neenaformep,ALDE,Spain
NEGRESCU Victor,negrescuvictor,S&D,Romania
GRIESBECK Nathalie,ngriesbeck,ECR,UK
CAPUTO Nicola,NicolaCaputo,EFDD,UK
BAY Nicolas,nicolasbayfn,,
NIEDERMÜLLER Péter,Niedemueller,S&D,Slovenia
FARAGE Nigel,Nigel_Farage,ALDE,Estonia
TORVALDS Nils,NilsTorvalds,EPP,Hungary
DEVA Nirj,NirjDeva,Greens,Spain
MARIAS Notis,Notis_Marias,S&D,Germany
MELO Nuno,NunoMeloCDS,NI (Freiheitliche Partei Osterreichs),Austria
O'FLYNN Patrick,oflynnmep,ECR,Germany
STUGER Olaf,OlafStuger,S&D,Italy
CHRISTENSEN Ole,OleEU,Greens,Spain
SEHNALOVÁ Olga,OlgaSehnalova,ECR,Germany
LUDVIGSSON Olle,olleludvigsson,S&D,Austria
REHN Olli,ollirehn,NI (Freiheitliche Partei Osterreichs),Austria
KARAS Othmar,othmar_karas,ECR,Belgium
IGLESIAS Pablo,Pablo_Iglesias_,S&D,Slovakia
ZALBA BIDEGAIN Pablo,PabloZalba,S&D,Romania
PABRIKS Artis,Pabriks,EPP,Spain
LÓPEZ BERMEJO Paloma,palomalopezB,ALDE,Belgium
DE CASTRO Paolo,paolodecastro,NI (Communist Party of Greece),Greece
PAPADIMOULIS Dimitrios,papadimoulis,S&D,Belgium
ARIMONT Pascal,PASCALARIMONT,EFDD,UK
PATRICIELLO Aldo,PatricielloAldo,ALDE,Slovakia
SULIN Patricija,PatricijaSulin,EPP,France
LE HYARIC Patrick,PatrickLeHyaric,ECR,UK
BRANNEN Paul,PaulBrannenNE,S&D,Germany
NUTTALL Paul,PaulNuttallMEP,GUE,Czech Republic
RÜBIG Paul,PaulRuebig,EFDD,Italy
TANG Paul,paultang,EPP,Poland
